,username,album,artist,date_posted,url
117,@h.arpermay,2,Mac DeMarco,2021-07-07 13:14:44.477106,https://lastfm.freetls.fastly.net/i/u/100s/0fd4ea33ee02465cc66904460ee8e91d.jpg
118,@leticiathephrog,Scorpion,Eve,2021-07-07 13:15:03.322772,https://lastfm.freetls.fastly.net/i/u/100s/102beeea4c09bacd121bf84924a5bd41.jpg
119,@groggyroggy,Chaos and Creation in the Backyard,Paul McCartney,2021-07-07 13:15:22.092594,https://lastfm.freetls.fastly.net/i/u/100s/1040d6a1bc93404bbc26d8b8b683c305.jpg
120,@hoang_nguyenlong_,Circles,Mac Miller,2021-07-07 13:15:42.890807,https://lastfm.freetls.fastly.net/i/u/100s/108686804381dc33366a6d4f0fe092cf.jpg
121,@saeedeh_abszd,Little Broken Hearts,Norah Jones,2021-07-07 13:16:02.203657,https://lastfm.freetls.fastly.net/i/u/100s/112a31b22838f11ebbd81092d0e4b842.jpg
122,"@scottygeorge, @chaysense",Random Access Memories,Daft Punk,2021-07-07 13:16:24.588976,https://lastfm.freetls.fastly.net/i/u/100s/11dd7e48a1f042c688bf54985f01d088.jpg
123,@diegod_sc,Total Life Forever,Foals,2021-07-07 13:16:43.341649,https://lastfm.freetls.fastly.net/i/u/100s/11e6379ebbd342e9c2c36fd61ffd050e.jpg
124,@arog3rs,My Turn,Lil Baby,2021-07-07 13:17:01.256237,https://lastfm.freetls.fastly.net/i/u/100s/120648db4dfb756340993fcbcfbd020d.jpg
125,@reis.thomas,Truth Is,Sabrina Claudio,2021-07-08 08:24:50.522831,https://lastfm.freetls.fastly.net/i/u/100s/01aea55d7197a6ea602daa3ac6d0c049.jpg
126,@orchids_cattails,Laugh Tracks,Knocked Loose,2021-07-08 08:25:09.261501,https://lastfm.freetls.fastly.net/i/u/100s/0428795b6f6d10cc11e93d918728a4ed.jpg
127,@lleyl.f,WE MAKE YOU,Seventeen,2021-07-08 08:25:27.835083,https://lastfm.freetls.fastly.net/i/u/100s/04dfef644ddf95833c93312ace9a11eb.jpg
128,@marialaurapanzeri,The Devil Put Dinosaurs Here,Alice in Chains,2021-07-08 08:25:47.384866,https://lastfm.freetls.fastly.net/i/u/100s/053e076d94934bcba4bcb620cdd97915.jpg
129,@value.fries,A Constant State of Ohio,Lincoln,2021-07-08 08:26:07.365177,https://lastfm.freetls.fastly.net/i/u/100s/054ca93b1fd137c76717b64bcf4a2f4b.jpg
130,"@karinaboscolo, @minecraft_mangle",How to Be a Human Being,Glass Animals,2021-07-08 08:26:25.902477,https://lastfm.freetls.fastly.net/i/u/100s/05646a91f163b15d9f08642bbe170abf.jpg
131,@_nevaehthomas,A 20 Something Fuck,Two Feet,2021-07-08 08:26:45.383982,https://lastfm.freetls.fastly.net/i/u/100s/0590d2096231c2bdb783dc1fbedcc7c2.jpg
132,@epsilonsword,InnerSpeaker,Tame Impala,2021-07-08 08:27:05.231712,https://lastfm.freetls.fastly.net/i/u/100s/0704214cd12b494fc979da1ce2760541.jpg
133,@xoliviajones,IGOR,"Tyler, The Creator",2021-07-08 08:27:22.895441,https://lastfm.freetls.fastly.net/i/u/100s/09bc862022fa580b820e065e51da7905.jpg
134,@genesisbylaw,Girl On Fire (Remixes) - EP,Alicia Keys,2021-07-08 08:27:44.341451,https://lastfm.freetls.fastly.net/i/u/100s/0d2937ba892d6620ff1470304fb0065f.jpg
135,@streitsuechtig,Are You Experienced,Jimi Hendrix,2021-07-08 08:28:08.335478,https://lastfm.freetls.fastly.net/i/u/100s/0de1dc57a1de9583bc6e78d1070ec475.jpg
136,@elisapizzano,Golden Hour,Kygo,2021-07-08 08:28:27.900708,https://lastfm.freetls.fastly.net/i/u/100s/0dfca411df4db4b143ac0d375682e86b.jpg
137,@phoebeskata,Delaware,Drop Nineteens,2021-07-08 08:28:46.410921,https://lastfm.freetls.fastly.net/i/u/100s/0e58dd8880da4f09b3676ba5a4b64aa7.jpg
138,@v.alvino_,dawn,mxmtoon,2021-07-08 08:29:04.294863,https://lastfm.freetls.fastly.net/i/u/100s/100f6c23fcfae1c0146a6e8b99c95cbd.jpg
139,@daspanishjawnn,You,Larry Lovestein & The Velvet Revival,2021-07-08 08:29:23.039592,https://lastfm.freetls.fastly.net/i/u/100s/109235014cf34a3b8111c029c8b1afaa.jpg
